GeneID,Name,k1’,k2,k2’,kdeg,Transport
ENSMUSG00000030142.10,Clec4e,0.148235401732615,-0.215220645496404,-1.95438760365454,-2.40273358337287,-1.59093155642552
ENSMUSG00000029915.14,Clec5a,-0.623104846484548,-1.11277742377505,-1.84474857372951,-2.54466270997797,-1.35507599643901
ENSMUSG00000037242.8,Clic4,-0.224092949156668,-0.658013713611218,-1.52948515779339,-2.34324878575812,-1.09556439333884
ENSMUSG00000020841.5,Cpd,-1.25053468461698,-2.3393297330687,-1.67908574128005,-1.87598209437975,-0.59029069282832
ENSMUSG00000018916.5,Csf2,0.136649896425873,-0.023316979565495,-1.07586175567353,-1.08606884560043,-0.915894879682159
ENSMUSG00000068129.5,Cst7,-0.478636543801161,-0.89621009110614,-2.0770448797533,-3.00375763142976,-1.65947133244832
ENSMUSG00000029380.11,Cxcl1,-0.237964987921719,-0.467467320994129,-0.966836192304867,-1.1668370471392,-0.737333859232457
ENSMUSG00000034855.13,Cxcl10,0.269810671228522,-0.139754829878451,-1.05907619873094,-1.71755363735851,-0.649510697623969
ENSMUSG00000018920.11,Cxcl16,-0.134105356855362,-0.289402020320029,-2.02100363391494,-2.66430904804652,-1.86570697045027
ENSMUSG00000058427.10,Cxcl2,0.057537904059137,-0.332714968736498,-1.08254660477361,-1.19728798907543,-0.692293731977977
ENSMUSG00000029417.9,Cxcl9,7.31811757818946,7.23720258769692,-1.45925940228422,-2.60911729223161,-1.37834441179168
ENSMUSG00000015340.10,Cybb,7.52304237279851,7.15121387568263,-1.99554463936189,-3.08093745108745,-1.62371614224601
ENSMUSG00000035107.13,Dcbld2,-0.022118700336758,-0.189670946572806,-1.95166230527707,-2.23792354621106,-1.78411005904102
ENSMUSG00000053641.9,Dennd4a,-0.986753214925096,-1.24829555992467,-1.87677075082661,-1.83470646119374,-1.61522840582703
ENSMUSG00000024190.6,Dusp1,-0.080933586186134,-0.319894902358824,-0.645981998267722,-0.820691251979408,-0.407020682095032
ENSMUSG00000018648.15,Dusp14,-0.73173866711047,-1.00697903849605,-1.18101390568453,-1.74697602391511,-0.905773534298955
ENSMUSG00000030203.17,Dusp16,-0.196269213361614,-0.495797386938326,-1.58278690485671,-1.98027673380347,-1.28325873128
ENSMUSG00000027368.6,Dusp2,-0.035656092729415,-0.329545224928722,-0.636787924336952,-0.591007032058274,-0.342898792137644
ENSMUSG00000031530.6,Dusp4,-0.511431146284083,-0.828449883484298,-1.14580350796431,-1.37740718059539,-0.828784770764095
ENSMUSG00000034765.6,Dusp5,-0.162508766697255,-0.393409669621254,-0.785804106692894,-1.09727182460621,-0.554903203768895
ENSMUSG00000037887.11,Dusp8,-0.259864571396303,-0.489123993402647,-1.11232866767697,-1.14147396843642,-0.883069245670627
ENSMUSG00000046179.17,E2f8,0.509982342303346,0.284053248443641,-1.8793741923926,-2.26288229984251,-1.65344509853289
ENSMUSG00000003206.6,Ebi3,5.46599315945356,5.03754456846301,-2.03497796954688,-2.81114032002506,-1.60652937855633
ENSMUSG00000021367.8,Edn1,6.97551872795924,6.73925790752737,-1.18585780326145,-1.44255325995349,-0.949596982829578
ENSMUSG00000022122.14,Ednrb,0.183491962160812,-0.524414748682345,-1.85330560719594,-2.52294100940138,-1.14539889635278
ENSMUSG00000038418.7,Egr1,0.057038900754479,-0.592958941949954,-0.794011813050719,-1.26239375869352,-0.144013970346286
ENSMUSG00000037868.15,Egr2,-0.268439964189376,-0.688928063814607,-0.848536807160297,-1.15129522457664,-0.428048707535067
ENSMUSG00000024772.9,Ehd1,7.62787721792554,7.34496232053519,-1.67489486134325,-2.2538466088801,-1.3919799639529
ENSMUSG00000001542.7,Ell2,-0.559191663695045,-0.871084035133321,-1.66949371909633,-1.86659197955907,-1.35760134765806
ENSMUSG00000028967.10,Errfi1,-0.088613451166581,-0.413599426966921,-1.12396701677194,-1.30914895070443,-0.798981040971603
ENSMUSG00000022895.14,Ets2,-0.58596031700695,-0.915850885594441,-1.14785630275375,-1.67537499080692,-0.817965734166258
ENSMUSG00000052397.8,Ezr,-0.561195846080063,-0.771086742943589,-1.74426481524564,-2.46403710425352,-1.53437391838211
ENSMUSG00000031444.16,F10,5.7465810000163,5.45648491532332,-1.87048028073099,-2.34889910192989,-1.58038419603801
ENSMUSG00000028773.8,Fabp3,7.10583237848764,7.03891611857919,-1.46830192408777,-2.855407627676,-1.40138566417932
ENSMUSG00000026483.13,Fam129a,-1.00634476137425,-1.57493339215955,-1.73562906137414,-2.22431789606814,-1.16704043058883
ENSMUSG00000025854.15,Fam20c,-0.705647034937636,-0.920343999307441,-1.85940293721035,-2.29468392208321,-1.64470597284055
